subgroup_column,subgroup_value,rows,weight_sum,weighted_bias_global_trip_suppression_a1p25,weighted_bias_historical_xgboost,weighted_bias_llm_trip_suppression_a1p25,weighted_bias_random_trip_suppression_a1p25,weighted_mae_global_trip_suppression_a1p25,weighted_mae_historical_xgboost,weighted_mae_llm_trip_suppression_a1p25,weighted_mae_random_trip_suppression_a1p25,weighted_rmse_global_trip_suppression_a1p25,weighted_rmse_historical_xgboost,weighted_rmse_llm_trip_suppression_a1p25,weighted_rmse_random_trip_suppression_a1p25,llm_vs_historical_mae_delta,llm_vs_global_mae_delta,llm_vs_random_mae_delta,llm_vs_historical_bias_abs_delta
CENSUS_R,1,1363,22465587.35554148,-0.8169922040851877,3.366626452054733,-0.731669906823738,-0.7248646064550931,2.4593388075606315,4.128547263733302,2.4287880784430502,2.6364721706504572,3.6476418116638176,4.999645941640597,3.5586671321287304,3.856312761053003,1.6997591852902518,0.030550729117581277,0.20768409220740702,2.634956545230995
CENSUS_R,2,1861,27691062.214524657,-0.7637881353435391,3.635687565948619,-0.500126285285463,-0.6890064335792533,2.5192329132206277,4.366539726269556,2.469471662020222,2.6719330553831595,3.765660260742098,5.38551695449052,3.6444996053571543,3.934506058238095,1.8970680642493338,0.04976125120040553,0.20246139336293734,3.135561280663156
CENSUS_R,3,2915,48773694.938607365,-0.5895691755695528,3.781757732796926,-0.44479192925217187,-0.4594865345650988,2.5028654787369247,4.497141462828199,2.512663327674426,2.6108473429041497,3.7184137781965276,5.49272117708749,3.750201026474132,3.840706727560182,1.9844781351537728,-0.009797848937501463,0.09818401522972353,3.336965803544754
CENSUS_R,4,1754,28614362.491326496,-0.9472798248687377,3.461985590916318,-0.5921536098735813,-0.8327444563701378,2.6079684152875044,4.202172596734363,2.4835113523244794,2.7626448660408114,3.8363578546428947,5.1856049476041886,3.597685083224528,4.063035320170927,1.7186612444098839,0.12445706296302506,0.279133513716332,2.8698319810427364
HHFAMINC,-7,93,1600742.7281241086,-0.09542344491494223,3.9077316018867134,0.43292987462807087,0.1314979119676867,2.00724082567429,4.190036292808106,2.0790130075792965,2.2542698160994945,2.6268789985252186,4.916311054046992,2.6953458229048897,2.788691236801656,2.1110232852288093,-0.07177218190500634,0.17525680852019798,3.4748017272586424
HHFAMINC,-8,3,41548.81223421412,-0.7572275585777295,3.466292799610972,-0.16668485367332952,-0.39987265822579754,0.7572275585777295,3.466292799610972,0.21030615708260073,0.39987265822579754,0.7736007096075148,3.5616654100549225,0.2217207377498213,0.5019121507209332,3.255986642528371,0.5469214014951288,0.18956650114319681,3.2996079459376424
HHFAMINC,1,300,7385631.213695964,1.0751479053161372,4.411046527376085,-0.2035082525608606,1.1428652255870284,1.7971404735049565,4.53848906912435,1.3853590538261717,1.9185100482125013,2.3213607712214284,5.613449083402732,2.0359351232278775,2.6053655491353918,3.1531300152981783,0.4117814196787848,0.5331509943863295,4.207538274815224
HHFAMINC,10,593,9895359.59758039,-1.669984446501039,3.532049748150149,-0.8185070353362504,-1.4286443571583185,3.1047413020834793,4.675380274305841,3.043412160222551,3.1480227240954166,4.542783136075702,5.743009513606296,4.370631800095265,4.574155578442057,1.63196811408329,0.06132914186092853,0.10461056387286582,2.713542712813899
HHFAMINC,11,806,12741223.017888635,-1.7355738239336225,3.516130758751933,-0.7009387955721785,-1.65395474000311,3.18584619904094,4.6388747368674474,3.131846176918533,3.401768103697658,4.653850761294577,5.623895902347544,4.384370470830712,4.8800992798636065,1.5070285599489144,0.05400002212240684,0.2699219267791251,2.815191963179754
HHFAMINC,2,242,5158270.638978538,0.27019766018265634,3.318124218282908,-0.8074733494273587,0.3283243470245686,1.9283719291090993,3.6735767909235877,1.7817812718113415,2.1268034837682723,2.818587460702758,4.568325586202922,3.129988203874193,3.1459350616564206,1.8917955191122462,0.14659065729775778,0.34502221195693084,2.5106508688555493
HHFAMINC,3,467,8616666.685066657,-0.03991451786393108,3.4289787103464526,-0.6682727323360033,0.02341744541154096,2.0048142477492377,3.9098364643281056,2.1559343757863885,2.105780605136961,3.0743098315396837,4.822928774670808,3.429323308561547,3.151137308418069,1.7539020885417171,-0.1511201280371508,-0.050153770649427276,2.7607059780104493
HHFAMINC,4,552,9884379.583201796,-0.026644419541012265,4.019793249970088,-0.3739592831432244,0.18923032264800824,2.209346415528078,4.468468762073294,2.277568904178625,2.414729721212016,3.0938788892806097,5.495768928180631,3.285926103682309,3.3179952745128896,2.190899857894669,-0.0682224886505467,0.1371608170333909,3.6458339668268636
HHFAMINC,5,824,13569737.559333522,-0.2026463917614401,3.7585807862829785,-0.2519638514550735,-0.19577741998381068,2.2242031470253876,4.278131228056276,2.206401644471186,2.3803134306977958,3.1689622564019726,5.219018451984188,3.166696342889433,3.374651763138392,2.0717295835850904,0.017801502554201765,0.17391178622660997,3.506616934827905
HHFAMINC,6,1392,21252307.49957845,-0.3028993096156732,3.9540463640721475,-0.09703998327280278,-0.21271640256279015,2.271523795253691,4.425200856126517,2.347749171989409,2.4066567797544463,3.158281832609384,5.376501250435739,3.2285104067005017,3.3546165029592343,2.077451684137108,-0.07622537673571772,0.05890760776503745,3.8570063807993447
HHFAMINC,7,1120,16651924.971661704,-1.5150678995609557,2.9304010429260794,-0.9680051451373604,-1.3506969466071133,2.7477515493915887,3.9373581843590255,2.6544243226151916,2.8699408574722076,4.129138029334119,4.914411696913703,3.9257267166742844,4.222202569323013,1.282933861743834,0.09332722677639715,0.21551653485701605,1.962395897788719
HHFAMINC,8,890,12256706.34625848,-1.2997135312649286,3.454849094052442,-0.6810153532205433,-1.189834811798014,2.83537746479418,4.555602196706703,2.7781529206661837,2.898066824100338,4.430779021602819,5.515788232442065,4.2158959785414725,4.556380808135027,1.7774492760405192,0.05722454412799616,0.11991390343415409,2.7738337408318987
HHFAMINC,9,611,8490208.346397549,-1.7577758360815199,3.3592780171943444,-0.8845610969564917,-1.7126446695264848,3.0451311444236575,4.381698529696394,2.898263300378282,3.2485596016353107,4.4248124539387765,5.302637768385783,4.086358525064523,4.74410185976085,1.4834352293181126,0.14686784404537567,0.3502963012570288,2.474716920237853
HHSIZE,1,2271,36408704.97134426,-0.21536709480438615,1.9712489257273695,-0.48561173438627436,-0.15960960778765249,1.3771946945682425,2.3459737156676757,1.351495884193624,1.4293903144841165,1.8257517232699665,2.677085422756555,1.8765380526256108,1.895107225138113,0.9944778314740517,0.02569881037461852,0.07789443029049248,1.485637191341095
HHSIZE,10,2,32937.5787959488,5.707678952545778,16.673805873140406,6.425437340358603,8.47401226307345,5.707678952545778,16.673805873140406,6.425437340358603,8.47401226307345,5.721056726529549,16.704961653512623,6.425449043160429,8.481103870684889,10.248368532781804,-0.7177583878128253,2.048574922714846,10.248368532781804
HHSIZE,2,3339,44750885.62745042,-0.6313813484653186,3.427249614564765,-0.3908203888486705,-0.5049388771540486,2.289731058891626,4.0668189444367595,2.276342675413285,2.3933155808238604,3.0972146414384567,4.571531132023727,3.056201714020983,3.210577432866947,1.7904762690234746,0.013388383478341037,0.11697290541057548,3.0364292257160947
HHSIZE,3,967,19001129.40531972,-1.0528189627941684,4.128492533114292,-0.5710124333311276,-0.8698330292073538,2.938791414004285,5.071495992734984,2.8910848735817796,3.074865315219055,4.175796438442326,5.759460549840801,4.042086206312419,4.276188969583328,2.180411119153204,0.04770654042250522,0.18378044163727525,3.5574800997831644
HHSIZE,4,786,15515882.315177334,-1.423783495473166,5.033193729651026,-0.7664942139266694,-1.2533159798244322,3.7013252087498425,6.137309565327826,3.459338564781168,4.020608016329896,5.138210351744362,7.017456346673153,4.836467823640848,5.4363168991116915,2.6779710005466577,0.24198664396867464,0.561269451548728,4.266699515724357
HHSIZE,5,343,7521882.49142153,-1.8001395534440434,5.840083897323465,-1.0566504880269383,-1.6859565307421978,4.734764203833489,7.473354137571705,4.621830904686246,4.88309253786333,6.614148955271274,8.692325109504734,6.311337741396187,6.825126344110067,2.8515232328854587,0.11293329914724293,0.2612616331770843,4.783433409296527
HHSIZE,6,123,2635515.1905298526,-0.45987698375845054,7.729757351573266,-0.1436316318955622,-0.6506912971763764,3.58363709976365,8.3778366433052,4.274380768696935,3.94410338418708,4.940552838185109,9.437028977622047,5.498105588384327,5.359842981773337,4.103455874608264,-0.6907436689332851,-0.3302773845098552,7.586125719677703
HHSIZE,7,37,1058082.430990632,-0.42033701251618305,9.084848743567935,-0.7613477047076018,-0.46674105172957625,6.004319052949998,10.183408053805053,6.141750542419783,6.731794973675059,7.452345411641645,11.67398661388359,8.214486162396947,8.025309201320702,4.04165751138527,-0.137431489469785,0.5900444312552757,8.323501038860334
HHSIZE,8,19,506172.7558284294,-3.9180132989500183,5.459982872980518,-4.150835670168751,-4.93133628607564,6.446388760597702,6.469318894505436,6.278523233943251,8.109909535482522,7.722013831273972,8.760586787928698,7.243195015508554,9.642156007897965,0.190795660562185,0.16786552665445065,1.831386301539271,1.3091472028117668
HHSIZE,9,6,113514.23314186055,-1.5951764599310583,8.041594054776514,0.08471370439896103,-1.004841883306339,8.526761181604547,11.974172005195463,8.466611248137106,9.024434841833912,10.30696517620917,13.220298795011361,9.590469471877046,10.64943746985522,3.507560757058357,0.06014993346744113,0.5578235936968063,7.956880350377553
