method,family,description,alpha,gate_threshold,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_1_trip,within_2_trips,within_3_trips,weighted_within_1_trip,weighted_within_2_trips,weighted_within_3_trips,pressure_weighted_mean,pressure_weighted_std,mae_delta_vs_global_actual_event_a1,mae_delta_vs_primary
historical_xgboost,traditional_baseline,Historical routine model without post-pandemic event adaptation.,,,4.337687323545808,5.316934317366308,3.6051837103426063,-0.6367465207446614,7.4370973925225625,0.05840618269352591,0.11795261624223996,0.2647915874825795,0.41935892563030536,0.09809696085548182,0.23389974913658806,0.38083928785572935,,,1.7845934107903791,1.8354074895968413
global_actual_event_a1,global_event_prior,Global weighted mean of the actual LLM trip-suppression pressure.,1.0,,2.5530939127554286,3.627152033492549,0.12287415524008434,0.2382887761693906,3.9547878374200405,0.1821867477511719,0.2855694919548967,0.5379450145698721,0.7073356138350437,0.2746402331499258,0.5234357010860645,0.698439733881152,0.4682350346257022,0.0,0.0,0.05081407880646216
primary_gated_event_a1_d0p15,main_method,Primary fixed no-label gated event adapter.,1.0,0.15,2.5022798339489665,3.6038437615055248,-0.023038008084742212,0.24804691566227388,3.808875674095214,0.1772456607120233,0.2976054732041049,0.5449132142404662,0.7116432281768655,0.2971439248944585,0.5395255506831927,0.7084982108536632,0.4990742876851488,0.08431962780116689,-0.05081407880646216,0.0
llm_only_pressure_a1p25,llm_only_control,LLM pressure without the routine household baseline.,1.25,,2.7175133709906736,3.9876142225127875,-0.37324858863071647,0.07937003059806125,3.4586650935492393,0.1415178005827949,0.26200430761434185,0.5095654377296338,0.679842898771063,0.26434737987851425,0.5170028343054679,0.6834677196621461,0.4682350346257022,0.11744767022300905,0.16441945823524495,0.2152335370417071
pseudo_media_upgrade_global_same_mean_a1,pseudo_event_global,"A non-travel pseudo-event about household digital media upgrade adoption, built from household demographics and deterministic ID noise. Uses only the placebo weighted mean.",1.0,,2.5530939127554286,3.627152033492549,0.12287415524008434,0.2382887761693906,3.9547878374200405,0.1821867477511719,0.2855694919548967,0.5379450145698721,0.7073356138350437,0.2746402331499258,0.5234357010860645,0.698439733881152,0.4682350346257022,0.0,0.0,0.05081407880646216
pseudo_media_upgrade_rank_matched_a1,pseudo_event_ranked,"A non-travel pseudo-event about household digital media upgrade adoption, built from household demographics and deterministic ID noise. Distribution-matched to actual LLM pressure.",1.0,,2.733222249646373,3.8681039890184583,-0.030672878952296662,0.1337263231523107,3.801240803227659,0.15798809071329026,0.276954263271253,0.49588242746737615,0.6933992144938553,0.26330748756162153,0.47735001865783366,0.6799485412394384,0.4682350346257022,0.11112700134199606,0.18012833689094432,0.23094241569740648
pseudo_media_upgrade_rank_matched_gated_a1_d0p15,pseudo_event_gated,"A non-travel pseudo-event about household digital media upgrade adoption, built from household demographics and deterministic ID noise. Distribution-matched and passed through the same gate.",1.0,0.15,2.6297516645171344,3.779748719050724,-0.16192566235017472,0.17284920239818657,3.669988019829781,0.17661218801469655,0.27936145952109465,0.5299632585835551,0.7018877486380337,0.2696809960529655,0.5164244533425887,0.6929459342481609,0.49518342747911054,0.07876544224466875,0.07665775176170575,0.1274718305681679
pseudo_calendar_app_global_same_mean_a1,pseudo_event_global,"A non-travel pseudo-event about calendar-app adoption, built from travel-day timing waves and deterministic ID noise. Uses only the placebo weighted mean.",1.0,,2.5530939127554286,3.627152033492549,0.12287415524008434,0.2382887761693906,3.9547878374200405,0.1821867477511719,0.2855694919548967,0.5379450145698721,0.7073356138350437,0.2746402331499258,0.5234357010860645,0.698439733881152,0.46823503462570226,0.0,0.0,0.05081407880646216
pseudo_calendar_app_rank_matched_a1,pseudo_event_ranked,"A non-travel pseudo-event about calendar-app adoption, built from travel-day timing waves and deterministic ID noise. Distribution-matched to actual LLM pressure.",1.0,,2.6360092312901107,3.730970599491897,0.13875638695481096,0.1940604113399722,3.970670069134767,0.15279361459521096,0.28493601925757,0.5194476118079311,0.7030279994932218,0.2767774743532224,0.5088540043587504,0.6906413271929921,0.46823503462570226,0.10381432303931208,0.08291531853468204,0.1337293973411442
pseudo_calendar_app_rank_matched_gated_a1_d0p15,pseudo_event_gated,"A non-travel pseudo-event about calendar-app adoption, built from travel-day timing waves and deterministic ID noise. Distribution-matched and passed through the same gate.",1.0,0.15,2.5719963327153423,3.6931394189118247,-0.03711895200136975,0.21032163148083216,3.794794730178586,0.1772456607120233,0.28734321550741165,0.5399721272013176,0.7092360319270239,0.2808619725856346,0.5269808298100562,0.7001197195552362,0.4907641893211368,0.071452739850929,0.018902419959913708,0.06971649876637587
